State of Charge (SOC) (%),State of Health (SOH) (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ),Efficiency (%),Life Span Remaining,Charging/Discharging Rate
38.578201880300114,71.28368849576907,1792,3.482670043189949,18.055779575279903,87.397066293467,50,"14 years, 1 months, 18 days",Slow
37.34003630500932,84.51998007779775,331,3.507345113777581,36.07101157516691,95.95903271206446,50,"0 years, 3 months, 24 days",Slow
61.38913284527759,73.69777168517074,1453,3.658162001635215,23.036102056335107,91.50816461460433,70,"6 years, 6 months, 22 days",Slow
41.78126165905013,71.30191407690083,609,4.086046257538884,32.301717750058906,38.76093675732474,50,"0 years, 10 months, 25 days",Moderate
54.18116450609645,87.23709006977072,1228,3.875051604171696,17.295768364334364,21.097626903642475,50,"6 years, 8 months, 24 days",Moderate
70.84361791228926,87.85197896713046,1050,3.486409167199951,24.768925991380144,75.22489870583986,70,"12 years, 3 months, 16 days",Slow
34.63258114976554,70.42546487621162,1367,3.790100776492032,23.42812909884347,86.7622015425105,50,"12 years, 10 months, 22 days",Slow
44.302239077446536,99.4806484398948,906,3.314980365087276,29.381940787077028,99.04998438735346,50,"4 years, 1 months, 27 days",Slow
68.95752412102078,77.56571583021345,1316,3.758257905057895,22.28226288303284,27.07320911417789,70,"10 years, 3 months, 8 days",Moderate
29.55423525049354,74.17611233317932,274,3.189557482468466,31.927611872326544,71.14089398016142,50,"10 years, 1 months, 20 days",Slow
